Date,Start Date,End Date,Total Trades,Wins,Losses,WinRate,Final NAV,Daily Return,TP,SL,Entry Time Offset,Percentage Change
2024-05-02 09:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-03 00:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-0.4367015455049987,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-03 05:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-0.4367015455049987,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-03 12:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-0.4367015455049987,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-04 11:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,1.1291701200000221,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-05 11:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-0.1543108639329545,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-05 18:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-0.1543108639329545,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-06 04:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,0.0,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-07 05:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,1.129170120000012,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-08 08:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,1.129170120000009,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-08 20:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,1.129170120000009,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-09 15:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-1.2691501199999933,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
2024-05-10 12:00:00,2024-05-01,2024-06-01,25,14,11,0.56,101239.76148088214,-1.2691501199999975,0.011999999999999997,0.011999999999999997,70,0.0006000000000000001
